ad_click_id,ad_id,user_id
618,1407,1145
619,504,9464
620,1408,555
621,450,6316
622,1349,9284
623,1304,5613
624,1082,4629
625,667,2593
626,934,1034
627,950,4976
628,838,8345
629,546,2496
630,128,8907
631,14,7982
632,270,5385
633,1915,822
634,483,5847
635,1583,6947
636,1953,7884
637,1005,9624
638,1679,2894
639,861,1865
640,826,7220
641,105,6419
642,1521,4848
643,259,2209
644,1879,5773
645,459,3459
646,863,7381
647,107,101
648,1067,9479
649,1727,861
650,533,3341
651,1543,2618
652,769,9958
653,1424,3443
654,1827,999
655,681,9930
656,605,6179
657,1388,3755
658,324,410
659,1535,165
660,1281,2322
661,48,1727
662,895,2584
663,558,5201
664,32,5396
665,401,9034
666,1571,8702
667,622,4311
668,174,381
669,974,7959
670,1699,9648
671,970,9311
672,1631,7666
673,556,4672
674,722,3455
675,204,2781
676,1329,2561
677,1429,8471
678,1712,9220
679,1575,3369
680,172,5587
681,118,2914
682,608,5465
683,859,9722
684,1818,3893
685,1936,4462
686,37,7357
687,386,5208
688,329,4675
689,57,3157
690,1843,7271
691,1667,2050
692,339,3228
693,204,3863
694,99,4522
695,1362,8863
696,1011,5990
697,185,7625
698,1292,6101
699,1473,1243
700,1726,7442
701,282,4041
702,1614,5810
703,822,6223
704,1478,9553
705,1219,9811
706,1110,3801
707,678,780
708,148,186
709,871,2811
710,966,5549
711,878,2332
712,1059,7366
713,208,2881
714,169,2813
715,815,4782
716,1074,6928
717,600,745
718,362,7442
719,1909,4898
720,1079,8653
721,1200,5049
722,581,4440
723,1884,5112
724,1560,8782
725,114,5808
726,1399,4561
727,1094,5246
728,1049,2351
729,712,669
730,1242,5128
731,1619,8966
732,897,1664
733,302,979
734,100,835
735,943,7161
736,930,3056
737,866,6064
738,1951,7257
739,727,2841
740,1078,6730
741,524,6919
742,1551,7251
743,858,9382
744,2000,3437
745,111,6211
746,1769,9336
747,905,3466
748,112,6286
749,179,9449
750,1640,3491
751,191,9067
752,446,7728
753,1905,4246
754,1356,2786
755,1084,9404
756,1469,4114
757,1774,2516
758,777,1772
759,708,1332
760,329,4706
761,1663,6471
762,1395,1218
763,1217,5863
764,1147,3858
765,1505,4158
766,38,1198
767,568,5999
768,523,7042
769,28,6994
770,1933,42
771,382,8579
772,1394,3598
773,1002,5871
774,1179,9488
775,1619,5943
776,1641,524
777,918,2544
778,968,2964
779,566,8853
780,41,7994
781,1899,9118
782,1289,2494
783,870,972
784,652,9783
785,505,7286
786,1139,8486
787,285,1024
788,1321,965
789,903,5842
790,595,4338
791,1494,4236
792,956,543
793,915,2786
794,1423,1756
795,1612,6069
796,441,7688
797,1533,1395
798,1516,4877
799,869,6870
800,789,2081
801,1237,1296
802,1640,7812
803,69,4014
804,1643,2049
805,1783,741
806,1775,800
807,1945,9485
808,437,6897
809,1994,5452
810,137,8719
811,798,2069
812,736,2564
813,979,9077
814,348,7037
815,1843,1942
816,527,3747
817,1320,880
818,640,7704
819,577,8584
820,771,1945
821,939,4123
822,657,9884
823,779,2590
824,178,1225
825,703,4835
826,1554,3426
827,527,9320
828,991,1003
829,911,9641
830,1892,7252
831,201,9726
832,229,5564
833,1634,9766
834,250,3526
835,1236,2054
836,1859,5710
837,1231,6892
838,1059,590
839,1203,381
840,1155,1737
841,1582,3682
842,642,6728
843,1989,3480
844,226,880
845,1832,2297
846,6,3008
847,1125,7988
848,375,9235
849,458,7325
850,1660,9185
851,276,7678
852,1613,5311
853,1735,3346
854,88,8004
855,1339,78
856,1437,6410
857,1140,3891
858,615,3963
859,1193,8345
860,1149,6125
861,1650,9621
862,676,576
863,52,9301
864,1561,3889
865,634,6532
866,969,1429
867,1584,7169
868,645,186
869,1926,3675
870,742,2416
871,1926,6301
872,1421,6870
873,1798,6826
874,1120,2752
875,1686,8317
876,1427,2115
877,384,3558
878,1421,241
879,818,6983
880,189,5873
881,1469,9336
882,1085,7015
883,1516,7934
884,1665,2421
885,970,5157
886,573,7690
887,1857,569
888,296,5130
889,881,9009
890,852,1395
891,1085,3486
892,830,6516
893,1187,3563
894,578,4873
895,275,7895
896,1287,3038
897,358,9552
898,1507,3217
899,400,4113
900,186,6282
901,1873,5693
902,545,9628
903,652,1375
904,1760,854
905,1602,9822
906,1157,9515
907,1268,9600
908,3,6262
909,1512,4208
910,898,9443
911,273,5961
912,519,8199
913,438,4499
914,31,9686
915,71,1186
916,577,9964
917,1777,3174
918,1499,857
919,1601,3961
920,280,1041
921,1923,6530
922,852,1155
923,1527,377
924,1630,334
925,1764,7846
926,1176,8522
927,1606,8708
928,482,8513
929,339,5646
930,808,1111
931,1568,2248
932,307,3036
933,1479,9792
934,189,313
935,617,9564
936,933,6009
937,129,9401
938,1369,6658
939,1524,2692
940,1186,4718
941,1766,7648
942,157,9261
943,284,2222
944,1389,2346
945,1472,2569
946,995,553
947,8,2506
948,816,7111
949,512,919
950,399,1247
951,652,2417
952,1803,1553
953,1679,1542
954,491,4338
955,589,5093
956,1138,8429
957,1653,7771
958,1147,4866
959,474,3548
960,693,3597
961,1457,5034
962,1034,8448
963,1739,2688
964,1164,2969
965,1855,1683
966,1531,5006
967,1542,189
968,1126,1663
969,48,6015
970,27,1890
971,14,2678
972,108,5088
973,1397,8716
974,354,1504
975,1422,6164
976,1971,1890
977,979,7268
978,1972,2661
979,1730,2823
980,82,5574
981,713,1489
982,708,6704
983,720,9497
984,1681,1472
985,311,5526
986,1855,5546
987,1203,7841
988,2,3123
989,267,6735
990,1864,9492
991,971,7056
992,1096,2605
993,263,4143
994,610,9936
995,1492,2250
996,1898,2672
997,1874,3607
998,1517,14
999,139,1032
1000,369,4156
1001,913,988
1002,1274,316
1003,1202,2166
1004,1511,8402
1005,391,3669
1006,1263,655
1007,794,6680
1008,498,5375
1009,294,2885
1010,1959,8149
1011,936,9340
1012,1184,1267
1013,1802,1969
1014,1799,9993
1015,1247,1923
1016,842,2570
1017,1362,1159
1018,796,1357
1019,1648,1654
1020,1675,3187
1021,473,2918
1022,1781,9293
1023,737,510
1024,1064,6842
1025,262,3357
1026,1575,2720
1027,1680,8422
1028,1234,8358
1029,841,4776
1030,1267,9395
1031,1413,3578
1032,586,2476
1033,1025,6594
1034,279,8264
1035,1806,3974
1036,672,1406
1037,1117,7327
1038,373,8808
1039,1216,3993
1040,916,4557
1041,450,7461
1042,659,3681
1043,1789,7736
1044,121,9736
1045,150,5218
1046,628,3807
1047,1394,3647
1048,914,2642
1049,545,3434
1050,122,6328
1051,689,9223
1052,854,4267
1053,545,9218
1054,1683,3492
1055,1237,1347
1056,1325,7482
1057,460,5967
1058,1520,1105
1059,1717,7462
1060,1967,3691
1061,1590,8657
1062,1360,8089
1063,954,3093
1064,269,3057
1065,814,3307
1066,1876,1753
1067,1825,7692
1068,922,6244
1069,1502,1147
1070,1668,478
1071,1879,4496
1072,617,4505
1073,344,5904
1074,420,388
1075,579,2534
1076,550,8446
1077,604,413
1078,582,3232
1079,777,2076
1080,1195,3530
1081,934,1416
1082,391,6071
1083,898,2481
1084,1958,9407
1085,972,8765
1086,651,9254
1087,58,8998
1088,1233,1419
1089,1552,2513
1090,416,8890
1091,118,6094
1092,1523,4339
1093,538,7825
1094,53,728
1095,1911,5384
1096,659,6552
1097,617,2336
1098,201,4650
1099,543,9034
1100,712,5123
1101,1683,5741
1102,24,4707
1103,1829,9749
1104,353,3846
1105,482,72
1106,1090,5633
1107,1222,7441
1108,1848,9640
1109,903,2036
1110,1547,3187
1111,745,4222
1112,1396,612
1113,1419,5153
1114,513,8591
1115,277,9605
1116,568,847
1117,1566,3225
1118,1583,332
1119,479,9997
1120,1322,9847
1121,1892,6452
1122,194,1153
1123,993,9897
1124,249,4361
1125,85,4790
1126,851,2567
1127,859,2732
1128,1890,9513
1129,234,5770
1130,147,9511
1131,879,9434
1132,262,9980
1133,783,5382
1134,1496,5183
1135,679,9139
1136,629,1693
1137,1459,1068
1138,1951,6560
1139,1411,4515
1140,625,9752
1141,1016,7497
1142,770,3251
1143,404,9038
1144,1172,1366
1145,449,9692
1146,1579,3980
1147,1415,8959
1148,24,3347
1149,807,3957
1150,1000,2327
1151,213,7795
1152,260,8290
1153,152,1840
1154,1743,2019
1155,930,6026
1156,1047,3308
1157,1913,7114
1158,1871,2503
1159,910,3472
1160,1494,9466
1161,1813,8083
1162,1265,8704
1163,508,102
1164,994,1976
1165,938,6611
1166,1148,540
1167,1767,2022
1168,115,6240
1169,393,2071
1170,196,8391
1171,791,7815
1172,343,769
1173,1461,8119
1174,2000,1117
1175,1948,4736
1176,601,6565
1177,1400,9410
1178,2000,9767
1179,1900,2784
1180,913,1703
1181,334,5085
1182,1350,174
1183,1517,9169
1184,176,2734
1185,6,9392
1186,1693,8955
1187,500,8533
1188,751,8776
1189,1782,1352
1190,858,7421
1191,1341,9075
1192,1542,2494
1193,1185,945
1194,1468,4937
1195,204,3007
1196,1576,2207
1197,475,5032
1198,735,5843
1199,1542,4752
1200,1356,6363
1201,27,9828
1202,1959,5155
1203,338,7435
1204,1831,7722
1205,83,4159
1206,295,4115
1207,1689,8749
1208,1373,9404
1209,1648,6479
1210,893,4206
1211,522,6919
1212,1804,7503
1213,764,3891
1214,1817,5525
1215,774,380
1216,1200,6317
1217,1745,4589
1218,1202,3602
1219,272,8592
1220,1054,6396
1221,1546,4769
1222,686,2743
1223,1374,9778
1224,724,4252
1225,197,6497
1226,1293,7976
1227,503,2895
1228,1967,58
1229,1933,2110
1230,1402,8918
1231,1224,483
1232,550,543
1233,890,8955
1234,1175,3095
1235,769,8213
1236,1911,5728
1237,1931,2258
1238,1406,9034
1239,616,3918
1240,128,4257
1241,753,8040
1242,1367,9299
1243,1546,5095
1244,7,3466
1245,1113,5701
1246,181,7163
1247,1121,6489
1248,168,1884
1249,94,7369
1250,1978,1717
1251,348,4105
1252,772,5592
1253,1428,8801
1254,949,1253
1255,1892,1312
1256,1505,3533
1257,813,7048
1258,1673,6263
1259,1903,8889
1260,1216,6816
1261,1107,8400
1262,246,1248
1263,1823,5316
1264,1992,1953
1265,107,3087
1266,409,1712
1267,414,9214
1268,565,1800
1269,1789,2431
1270,1422,8429
1271,1025,86
1272,30,5939
1273,465,7189
1274,1743,967
1275,1345,8777
1276,37,9434
1277,940,7801
1278,638,4536
1279,644,7108
1280,44,4189
1281,505,8357
1282,1687,5296
1283,84,6363
1284,588,110
1285,1727,1317
1286,1196,5137
1287,418,6443
1288,1224,7191
1289,263,8775
1290,1612,4394
1291,862,6181
1292,2000,9818
1293,1485,1193
1294,1257,2753
1295,1873,5471
1296,1345,9426
1297,1440,7103
1298,563,7098
1299,570,6908
1300,109,7079
1301,522,4728
1302,1551,4712
1303,82,611
1304,75,5314
1305,1380,4003
1306,433,3824
1307,1140,2652
1308,1722,7960
1309,1891,5056
1310,742,1108
1311,1476,1282
1312,1877,1896
1313,669,6794
1314,1621,1971
1315,1678,8066
1316,1949,437
1317,1735,263
1318,513,1951
1319,932,4690
1320,196,1336
1321,632,8885
1322,1657,2494
1323,1563,89
1324,442,2636
1325,527,6757
1326,559,5640
1327,946,8086
1328,615,8658
1329,13,538
1330,141,8799
1331,428,4793
1332,928,4549
1333,883,6451
1334,623,9319
1335,1525,2190
1336,1778,2595
1337,794,6329
1338,1544,3070
1339,1200,1942
1340,760,2274
1341,1036,6377
1342,198,1010
1343,1075,3176
1344,1611,9023
1345,1763,560
1346,1565,5829
1347,1536,6560
1348,1486,7853
1349,90,1254
1350,115,7546
1351,316,8640
1352,1749,6739
1353,466,7091
1354,1864,2578
1355,739,9381
1356,279,1139
1357,686,8128
1358,1312,1062
1359,964,1998
1360,1932,3246
1361,1225,9483
1362,955,5912
1363,43,1394
1364,1100,908
1365,262,1248
1366,801,9487
1367,1655,1256
1368,564,248
1369,1397,8045
1370,1023,6129
1371,440,2425
1372,1293,9894
1373,1932,2798
1374,585,7891
1375,271,8972
1376,684,2965
1377,998,4659
1378,116,5693
1379,559,5046
1380,1252,1626
1381,353,2672
1382,1639,4447
1383,349,1653
1384,1,8591
1385,716,7648
1386,1972,1777
1387,1900,5135
1388,412,6583
1389,650,6859
1390,1807,5406
1391,825,531
1392,1395,2475
1393,1779,6566
1394,1341,7044
1395,889,852
1396,182,782
1397,774,4298
1398,1871,9502
1399,1974,944
1400,349,9503
1401,880,1940
1402,745,4511
1403,927,8159
1404,84,2817
1405,1864,3517
1406,1431,5237
1407,90,7059
1408,360,376
1409,1865,6820
1410,938,879
1411,1726,8551
1412,1860,2852
1413,1662,7993
1414,931,1277
1415,1574,1604
1416,643,1653
1417,511,2321
1418,780,1564
1419,1070,8520
1420,89,2375
1421,240,3927
1422,1285,8745
1423,767,6041
1424,810,8209
1425,263,186
1426,128,1424
1427,65,7571
1428,1935,1010
1429,1360,6347
1430,652,1119
1431,1992,6703
1432,1273,8250
1433,432,1280
1434,111,7823
1435,526,1685
1436,459,3866
1437,1674,1912
1438,1988,5738
1439,434,8584
1440,1681,8194
1441,1103,1924
1442,426,825
1443,1564,7893
1444,976,6403
1445,317,2772
1446,188,5737
1447,1693,9268
1448,758,9027
1449,57,5120
1450,756,4985
1451,278,7920
1452,932,471
1453,393,1998
1454,299,9986
1455,1357,1229
1456,677,7329
1457,141,3436
1458,1242,7603
1459,620,2806
1460,1715,5046
1461,1868,5095
1462,1097,8986
1463,1379,9383
1464,977,9967
1465,615,9589
1466,1189,9866
1467,203,1313
1468,368,726
1469,564,9486
1470,1899,1383
1471,1172,4723
1472,1740,4778
1473,455,237
1474,1759,9552
1475,646,1418
1476,1495,184
1477,885,1748
1478,1562,2671
1479,513,3713
1480,1857,3417
1481,10,3230
1482,846,4291
1483,1036,7979
1484,1678,3442
1485,1335,6172
1486,1141,5073
1487,689,3402
1488,1649,8363
1489,1149,7546
1490,1079,4664
1491,349,4092
1492,564,5406
1493,1078,374
1494,1794,5264
1495,1217,5647
1496,1690,5541
1497,1526,8965
1498,659,4971
1499,1175,8026
1500,40,627
1501,1853,6643
1502,457,5309
1503,491,6247
1504,815,8165
1505,896,8026
1506,287,834
1507,841,4750
1508,610,6539
1509,1598,3566
1510,717,3749
1511,1887,6108
1512,1405,8562
1513,393,7282
1514,1597,5329
1515,1209,366
1516,723,5807
1517,603,8739
1518,947,2565
1519,1073,4216
1520,1292,4409
1521,1584,1367
1522,1328,9314
1523,1535,6218
1524,1159,4274
1525,1601,2026
1526,931,9874
1527,1600,4194
1528,147,2014
1529,1234,938
1530,363,6730
1531,708,9815
1532,1326,6020
1533,571,2417
1534,1261,4842
1535,1147,7223
1536,1723,1998
1537,667,118
1538,579,1916
1539,703,4916
1540,980,8958
1541,480,9063
1542,639,3542
1543,1332,9183
1544,931,6917
1545,1968,8840
1546,511,7250
1547,1564,5170
1548,1895,2623
1549,1048,2025
1550,1490,9195
1551,1931,8048
1552,1561,7650
1553,251,3385
1554,509,8464
1555,811,7674
1556,1626,1472
1557,1983,9065
1558,1090,4413
1559,267,6845
1560,1865,1413
1561,1088,9899
1562,983,7422
1563,1181,9328
1564,236,1622
1565,103,2469
1566,226,8621
1567,1206,6788
1568,1961,213
1569,327,4942
1570,1496,6413
1571,999,8475
1572,910,1442
1573,634,6573
1574,116,2670
1575,351,8225
1576,342,5386
1577,1335,8359
1578,348,7869
1579,173,8337
1580,365,6032
1581,543,4368
1582,1812,5200
1583,883,4290
1584,1123,5531
1585,567,9573
1586,1355,6612
1587,1861,7144
1588,30,9762
1589,1567,5546
1590,1356,184
1591,533,4773
1592,1338,8821
1593,1609,1524
1594,697,6951
1595,219,8591
1596,478,619
1597,221,5408
1598,82,6034
1599,538,9221
1600,1570,2189
1601,1140,3167
1602,1032,1562
1603,822,2564
1604,408,574
1605,1110,5108
1606,1799,5266
1607,731,3150
1608,358,4906
1609,1757,9663
1610,1450,6477
1611,1582,9450
1612,265,8300
1613,789,6433
1614,1420,9278
1615,660,3926
1616,1609,1923
1617,1370,4080
1618,520,3838
1619,1530,1091
1620,283,2777
1621,1268,7235
1622,6,6325
1623,1957,123
1624,1281,3849
1625,907,5527
1626,1603,3776
1627,1179,392
1628,1932,302
1629,1702,1983
1630,281,5532
1631,1523,1879
1632,484,8519
1633,1648,7758
1634,1526,4945
1635,689,3160
1636,88,332
1637,1328,6019
1638,169,7942
1639,586,9195
1640,1166,1160
1641,256,5404
1642,307,5455
1643,16,7264
1644,954,7799
1645,1530,4972
1646,993,677
1647,842,6304
1648,1626,4679
1649,1684,1952
1650,1105,3117
1651,90,7239
1652,526,3420
1653,1736,3229
1654,1743,6135
1655,546,7848
1656,991,8770
1657,806,6876
1658,1599,4660
1659,1117,786
1660,228,3255
1661,318,2509
1662,901,8108
1663,1727,7361
1664,1636,7511
1665,454,2920
1666,1167,5716
1667,769,6974
1668,1640,1051
1669,219,5042
1670,94,3517
1671,584,588
1672,674,8623
1673,1319,5310
1674,1635,5759
1675,1626,4033
1676,1334,1426
1677,1880,2164
1678,129,2345
1679,122,2565
1680,1816,3483
1681,61,4224
1682,1491,3961
1683,375,6311
1684,1038,2686
1685,1648,6514
1686,49,2336
1687,70,4188
1688,1848,8168
1689,719,3328
1690,441,5365
1691,1163,8914
1692,21,3310
1693,11,2978
1694,1057,1138
1695,1866,4322
1696,490,3958
1697,406,18
1698,1391,8087
1699,300,9962
1700,602,1688
1701,68,4577
1702,1408,6740
1703,1218,8294
1704,112,793
1705,974,9597
1706,1865,2161
1707,341,7007
1708,222,2126
1709,1880,9472
1710,1055,8118
1711,1045,1884
1712,1009,7488
1713,708,4557
1714,601,3934
1715,879,376
1716,1424,9128
1717,776,6626
1718,1386,7393
1719,916,5693
1720,845,7461
1721,1487,4001
1722,939,9943
1723,1420,3490
1724,1506,7857
1725,1825,3164
1726,970,9111
1727,1537,441
1728,278,4397
1729,1145,7496
1730,574,1061
1731,140,7554
1732,1065,9818
1733,899,2939
1734,478,6450
1735,1155,2312
1736,244,8014
1737,133,1526
1738,1907,6909
1739,1589,9079
1740,1301,1892
1741,1422,8514
1742,1199,1176
1743,1652,806
1744,767,7263
1745,206,6802
1746,703,5148
1747,88,3968
1748,1743,444
1749,57,4649
1750,1664,7039
1751,1009,9533
1752,305,9338
1753,1779,4044
1754,1596,8978
1755,1338,5895
1756,1645,7243
1757,1558,31
1758,547,3547
1759,1455,6218
1760,248,2041
1761,428,3331
1762,1951,6384
1763,726,4927
1764,1808,4279
1765,35,5539
1766,1861,3901
1767,898,6783
1768,1300,834
1769,776,377
1770,982,8380
1771,503,3840
1772,1835,3335
1773,1480,1167
1774,1631,2046
1775,601,3862
1776,916,5772
1777,568,7164
1778,1412,7798
1779,852,7035
1780,767,5789
1781,1698,5602
1782,707,8838
1783,1590,43
1784,504,7344
